"","gene","logfc","ave_expr","p_value","adj_p_value","comparison"
"PDLIM3","PDLIM3",0.331607474688946,8.04693881291175,0.028547352647814,0.0520856833617035,"cid1 - cid0"
"HIP1R","HIP1R",-0.146664480412364,8.63831831408527,0.0286123596825901,0.0521936544902668,"cid1 - cid0"
"FBXO33","FBXO33",0.127129264406554,8.58716371400121,0.0286434506523369,0.0522397257466638,"cid1 - cid0"
"PGM2","PGM2",-0.112850476875352,8.9408497195168,0.0287689796853679,0.0524579786401423,"cid1 - cid0"
"AIP","AIP",0.144622473707857,8.31303079740825,0.0288398215058988,0.0525764451114461,"cid1 - cid0"
"KDELC2","KDELC2",-0.117710526481066,8.862924082364,0.0288836697454907,0.0526456627099712,"cid1 - cid0"
"CCDC167","CCDC167",0.17997560899005,8.59309665771515,0.0289365811370202,0.0527269477675669,"cid1 - cid0"
"DHX8","DHX8",0.146731417047627,8.17912632991873,0.0289400448262955,0.0527269477675669,"cid1 - cid0"
"MAPKAP1","MAPKAP1",0.0876270936897043,8.8971671684868,0.0289980847999944,0.0528219436855239,"cid1 - cid0"
"HYOU1","HYOU1",-0.143552471140557,11.1928694270963,0.0290070907761813,0.0528276004310722,"cid1 - cid0"
"DHX9","DHX9",0.136977312892288,9.55349274412198,0.0290720608316987,0.0529351557100262,"cid1 - cid0"
"CRY2","CRY2",0.354098397482348,6.40238134545059,0.0290850047895019,0.0529479560553906,"cid1 - cid0"
"TXNL1","TXNL1",-0.0722703354405745,11.4651098660779,0.0293776806035116,0.0534698870590037,"cid1 - cid0"
"RHEB","RHEB",-0.106464556586385,10.2640658342977,0.0294673492547423,0.0536221906255503,"cid1 - cid0"
"PLA2G6","PLA2G6",0.130864109430552,7.78396971947637,0.0295040132600312,0.0536744575491227,"cid1 - cid0"
"FBXL12","FBXL12",-0.094418379494094,9.30256328922299,0.0295080621084309,0.0536744575491227,"cid1 - cid0"
"GRHPR","GRHPR",-0.107867121757648,9.5715937595754,0.0295352049314371,0.0537129168700298,"cid1 - cid0"
"GSDMD","GSDMD",-0.129597295447709,9.20170185888646,0.0295428528536503,0.0537159142158268,"cid1 - cid0"
"MRPL21","MRPL21",-0.13274513126923,9.37246950881037,0.0295588698898631,0.0537341242891258,"cid1 - cid0"
"DHRS7","DHRS7",-0.138533336967555,10.6253855880188,0.0296318009980107,0.0538544834926689,"cid1 - cid0"
"RPS11","RPS11",0.183414938528628,9.97184827089325,0.0296371093676287,0.0538544834926689,"cid1 - cid0"
"PRRG1","PRRG1",-0.199114598505121,8.58217952891798,0.0297970790471109,0.0541341819620097,"cid1 - cid0"
"LSS","LSS",-0.138322756204603,9.99215691095484,0.0298267549974103,0.0541771023517578,"cid1 - cid0"
"STT3A","STT3A",-0.155531679485078,10.8088406617725,0.0298493322940435,0.0542071140017386,"cid1 - cid0"
"GNPDA2","GNPDA2",0.151719455506827,7.47109620513497,0.0298601185497214,0.0542157050041889,"cid1 - cid0"
"SRP19","SRP19",0.0831765960822839,10.7074390958533,0.0299702291999149,0.0544045948959525,"cid1 - cid0"
